x,y,value
0.002646,-0.0061236,0
0.0026964,-0.0061236,0
0.0027468,-0.0061236,0
0.0027972,-0.0061236,0
0.0028476,-0.0061236,0
0.002898,-0.0061236,0
0.0029484,-0.0061236,0
0.0029988,-0.0061236,0
0.0030492,-0.0061236,0
0.0030996,-0.0061236,0
0.00315,-0.0061236,0
0.0032004,-0.0061236,0
0.0032508,-0.0061236,0
0.0033012,-0.0061236,0
0.0033516,-0.0061236,0
0.003402,-0.0061236,0
0.0034524,-0.0061236,0
0.0035028,-0.0061236,0
0.0035532,-0.0061236,0
0.0036036,-0.0061236,0
0.003654,-0.0061236,0
0.0037044,-0.0061236,0
0.0037548,-0.0061236,0
0.0038052,-0.0061236,0
0.0038556,-0.0061236,0
0.003906,-0.0061236,0
0.0039564,-0.0061236,0
0.0040068,-0.0061236,0
0.0040572,-0.0061236,0
0.0041076,-0.0061236,0
0.004158,-0.0061236,0
0.0042084,-0.0061236,0
0.0042588,-0.0061236,0
0.0043092,-0.0061236,0
0.0043596,-0.0061236,0
0.00441,-0.0061236,0
0.0044604,-0.0061236,0
0.0045108,-0.0061236,0
0.0045612,-0.0061236,0
0.0046116,-0.0061236,0
0.004662,-0.0061236,0
0.0047124,-0.0061236,0
0.0047628,-0.0061236,0
0.0048132,-0.0061236,0
0.0048636,-0.0061236,0
0.004914,-0.0061236,0
0.0049644,-0.0061236,0
0.0050148,-0.0061236,0
0.0050652,-0.0061236,0
0.0051156,-0.0061236,0
0.005166,-0.0061236,0
0.0052164,-0.0061236,0
0.0052668,-0.0061236,0
0.0053172,-0.0061236,0
0.0053676,-0.0061236,0
0.005418,-0.0061236,0
0.0054684,-0.0061236,0
0.0055188,-0.0061236,0
0.0055692,-0.0061236,0
0.0056196,-0.0061236,0
0.00567,-0.0061236,0
0.0057204,-0.0061236,0
0.0057708,-0.0061236,0
0.0058212,-0.0061236,0
0.0058716,-0.0061236,0
0.005922,-0.0061236,0
0.0059724,-0.0061236,0
0.0060228,-0.0061236,0
0.0060732,-0.0061236,0
0.0061236,-0.0061236,0
0.006174,-0.0061236,0
0.0062244,-0.0061236,0
0.0062748,-0.0061236,0
-0.0062748,-0.0060732,0
-0.0062244,-0.0060732,0
-0.006174,-0.0060732,0
-0.0061236,-0.0060732,0
-0.0060732,-0.0060732,0
-0.0060228,-0.0060732,0
-0.0059724,-0.0060732,0
-0.005922,-0.0060732,0
-0.0058716,-0.0060732,0
-0.0058212,-0.0060732,0
-0.0057708,-0.0060732,0
-0.0057204,-0.0060732,0
-0.00567,-0.0060732,0
-0.0056196,-0.0060732,0
-0.0055692,-0.0060732,0
-0.0055188,-0.0060732,0
-0.0054684,-0.0060732,0
-0.005418,-0.0060732,0
-0.0053676,-0.0060732,0
-0.0053172,-0.0060732,0
-0.0052668,-0.0060732,0
-0.0052164,-0.0060732,0
-0.005166,-0.0060732,0
-0.0051156,-0.0060732,0
-0.0050652,-0.0060732,0
-0.0050148,-0.0060732,0
-0.0049644,-0.0060732,0
-0.004914,-0.0060732,0
-0.0048636,-0.0060732,0
-0.0048132,-0.0060732,0
-0.0047628,-0.0060732,0
-0.0047124,-0.0060732,0
-0.004662,-0.0060732,0
-0.0046116,-0.0060732,0
-0.0045612,-0.0060732,0
-0.0045108,-0.0060732,0
-0.0044604,-0.0060732,0
-0.00441,-0.0060732,0
-0.0043596,-0.0060732,0
-0.0043092,-0.0060732,0
-0.0042588,-0.0060732,0
-0.0042084,-0.0060732,0
-0.004158,-0.0060732,0
-0.0041076,-0.0060732,0
-0.0040572,-0.0060732,0
-0.0040068,-0.0060732,0
-0.0039564,-0.0060732,0
-0.003906,-0.0060732,0
-0.0038556,-0.0060732,0
-0.0038052,-0.0060732,0
-0.0037548,-0.0060732,0
-0.0037044,-0.0060732,0
-0.003654,-0.0060732,0
-0.0036036,-0.0060732,0
-0.0035532,-0.0060732,0
-0.0035028,-0.0060732,0
-0.0034524,-0.0060732,0
-0.003402,-0.0060732,0
-0.0033516,-0.0060732,0
-0.0033012,-0.0060732,0
-0.0032508,-0.0060732,0
-0.0032004,-0.0060732,0
-0.00315,-0.0060732,0
-0.0030996,-0.0060732,0
-0.0030492,-0.0060732,0
-0.0029988,-0.0060732,0
-0.0029484,-0.0060732,0
-0.002898,-0.0060732,0
-0.0028476,-0.0060732,0
-0.0027972,-0.0060732,0
-0.0027468,-0.0060732,0
-0.0026964,-0.0060732,0
-0.002646,-0.0060732,0
-0.0025956,-0.0060732,0
-0.0025452,-0.0060732,0
-0.0024948,-0.0060732,0
-0.0024444,-0.0060732,0
-0.002394,-0.0060732,0
-0.0023436,-0.0060732,0
-0.0022932,-0.0060732,0
-0.0022428,-0.0060732,0
-0.0021924,-0.0060732,0
-0.002142,-0.0060732,0
-0.0020916,-0.0060732,0
-0.0020412,-0.0060732,0
-0.0019908,-0.0060732,0
-0.0019404,-0.0060732,0
-0.00189,-0.0060732,0
-0.0018396,-0.0060732,0
-0.0017892,-0.0060732,0
-0.0017388,-0.0060732,0
-0.0016884,-0.0060732,0
-0.001638,-0.0060732,0
-0.0015876,-0.0060732,0
-0.0015372,-0.0060732,0
-0.0014868,-0.0060732,0
-0.0014364,-0.0060732,0
-0.001386,-0.0060732,0
-0.0013356,-0.0060732,0
-0.0012852,-0.0060732,0
-0.0012348,-0.0060732,0
-0.0011844,-0.0060732,0
-0.001134,-0.0060732,0
-0.0010836,-0.0060732,0
-0.0010332,-0.0060732,0
-0.0009828,-0.0060732,0
-0.0009324,-0.0060732,0
-0.000882,-0.0060732,0
-0.0008316,-0.0060732,0
-0.0007812,-0.0060732,0
-0.0007308,-0.0060732,0
-0.0006804,-0.0060732,0
-0.00063,-0.0060732,0
-0.0005796,-0.0060732,0
-0.0005292,-0.0060732,0
-0.0004788,-0.0060732,0
-0.0004284,-0.0060732,0
-0.000378,-0.0060732,0
-0.0003276,-0.0060732,0
-0.0002772,-0.0060732,0
-0.0002268,-0.0060732,0
-0.0001764,-0.0060732,0
-0.000126,-0.0060732,0
-7.56e-05,-0.0060732,0
-2.52e-05,-0.0060732,0
2.52e-05,-0.0060732,0
7.56e-05,-0.0060732,0
0.000126,-0.0060732,0
0.0001764,-0.0060732,0
0.0002268,-0.0060732,0
0.0002772,-0.0060732,0
0.0003276,-0.0060732,0
0.000378,-0.0060732,0
0.0004284,-0.0060732,0
0.0004788,-0.0060732,0
0.0005292,-0.0060732,0
0.0005796,-0.0060732,0
0.00063,-0.0060732,0
0.0006804,-0.0060732,0
0.0007308,-0.0060732,0
0.0007812,-0.0060732,0
0.0008316,-0.0060732,0
0.000882,-0.0060732,0
0.0009324,-0.0060732,0
0.0009828,-0.0060732,0
0.0010332,-0.0060732,0
0.0010836,-0.0060732,0
0.001134,-0.0060732,0
0.0011844,-0.0060732,0
0.0012348,-0.0060732,0
0.0012852,-0.0060732,0
0.0013356,-0.0060732,0
0.001386,-0.0060732,0
0.0014364,-0.0060732,0
0.0014868,-0.0060732,0
0.0015372,-0.0060732,0
0.0015876,-0.0060732,0
0.001638,-0.0060732,0
0.0016884,-0.0060732,0
0.0017388,-0.0060732,0
0.0017892,-0.0060732,0
0.0018396,-0.0060732,0
0.00189,-0.0060732,0
0.0019404,-0.0060732,0
0.0019908,-0.0060732,0
0.0020412,-0.0060732,0
0.0020916,-0.0060732,0
0.002142,-0.0060732,0
0.0021924,-0.0060732,0
0.0022428,-0.0060732,0
0.0022932,-0.0060732,0
0.0023436,-0.0060732,0
0.002394,-0.0060732,0
0.0024444,-0.0060732,0
0.0024948,-0.0060732,0
0.0025452,-0.0060732,0
0.0025956,-0.0060732,0
0.002646,-0.0060732,0
0.0026964,-0.0060732,0
0.0027468,-0.0060732,0
0.0027972,-0.0060732,0
0.0028476,-0.0060732,0
0.002898,-0.0060732,0
0.0029484,-0.0060732,0
0.0029988,-0.0060732,0
0.0030492,-0.0060732,0
0.0030996,-0.0060732,0
0.00315,-0.0060732,0
0.0032004,-0.0060732,0
0.0032508,-0.0060732,0
0.0033012,-0.0060732,0
0.0033516,-0.0060732,0
0.003402,-0.0060732,0
0.0034524,-0.0060732,0
0.0035028,-0.0060732,0
0.0035532,-0.0060732,0
0.0036036,-0.0060732,0
0.003654,-0.0060732,0
0.0037044,-0.0060732,0
0.0037548,-0.0060732,0
0.0038052,-0.0060732,0
0.0038556,-0.0060732,0
0.003906,-0.0060732,0
0.0039564,-0.0060732,0
0.0040068,-0.0060732,0
0.0040572,-0.0060732,0
0.0041076,-0.0060732,0
0.004158,-0.0060732,0
0.0042084,-0.0060732,0
0.0042588,-0.0060732,0
0.0043092,-0.0060732,0
0.0043596,-0.0060732,0
0.00441,-0.0060732,0
0.0044604,-0.0060732,0
0.0045108,-0.0060732,0
0.0045612,-0.0060732,0
0.0046116,-0.0060732,0
0.004662,-0.0060732,0
0.0047124,-0.0060732,0
0.0047628,-0.0060732,0
0.0048132,-0.0060732,0
0.0048636,-0.0060732,0
0.004914,-0.0060732,0
0.0049644,-0.0060732,0
0.0050148,-0.0060732,0
0.0050652,-0.0060732,0
0.0051156,-0.0060732,0
0.005166,-0.0060732,0
0.0052164,-0.0060732,0
0.0052668,-0.0060732,0
0.0053172,-0.0060732,0
0.0053676,-0.0060732,0
0.005418,-0.0060732,0
0.0054684,-0.0060732,0
0.0055188,-0.0060732,0
0.0055692,-0.0060732,0
0.0056196,-0.0060732,0
0.00567,-0.0060732,0
0.0057204,-0.0060732,0
0.0057708,-0.0060732,0
0.0058212,-0.0060732,0
0.0058716,-0.0060732,0
0.005922,-0.0060732,0
0.0059724,-0.0060732,0
0.0060228,-0.0060732,0
0.0060732,-0.0060732,0
0.0061236,-0.0060732,0
0.006174,-0.0060732,0
0.0062244,-0.0060732,0
0.0062748,-0.0060732,0
-0.0062748,-0.0060228,0
-0.0062244,-0.0060228,0
-0.006174,-0.0060228,0
-0.0061236,-0.0060228,0
-0.0060732,-0.0060228,0
-0.0060228,-0.0060228,0
-0.0059724,-0.0060228,0
-0.005922,-0.0060228,0
-0.0058716,-0.0060228,0
-0.0058212,-0.0060228,0
-0.0057708,-0.0060228,0
-0.0057204,-0.0060228,0
-0.00567,-0.0060228,0
-0.0056196,-0.0060228,0
-0.0055692,-0.0060228,0
-0.0055188,-0.0060228,0
-0.0054684,-0.0060228,0
-0.005418,-0.0060228,0
-0.0053676,-0.0060228,0
-0.0053172,-0.0060228,0
-0.0052668,-0.0060228,0
-0.0052164,-0.0060228,0
-0.005166,-0.0060228,0
-0.0051156,-0.0060228,0
-0.0050652,-0.0060228,0
-0.0050148,-0.0060228,0
-0.0049644,-0.0060228,0
-0.004914,-0.0060228,0
-0.0048636,-0.0060228,0
-0.0048132,-0.0060228,0
-0.0047628,-0.0060228,0
-0.0047124,-0.0060228,0
-0.004662,-0.0060228,0
-0.0046116,-0.0060228,0
-0.0045612,-0.0060228,0
-0.0045108,-0.0060228,0
-0.0044604,-0.0060228,0
-0.00441,-0.0060228,0
-0.0043596,-0.0060228,0
-0.0043092,-0.0060228,0
-0.0042588,-0.0060228,0
-0.0042084,-0.0060228,0
-0.004158,-0.0060228,0
-0.0041076,-0.0060228,0
-0.0040572,-0.0060228,0
-0.0040068,-0.0060228,0
-0.0039564,-0.0060228,0
-0.003906,-0.0060228,0
-0.0038556,-0.0060228,0
-0.0038052,-0.0060228,0
-0.0037548,-0.0060228,0
-0.0037044,-0.0060228,0
-0.003654,-0.0060228,0
-0.0036036,-0.0060228,0
-0.0035532,-0.0060228,0
-0.0035028,-0.0060228,0
-0.0034524,-0.0060228,0
-0.003402,-0.0060228,0
-0.0033516,-0.0060228,0
-0.0033012,-0.0060228,0
-0.0032508,-0.0060228,0
-0.0032004,-0.0060228,0
-0.00315,-0.0060228,0
-0.0030996,-0.0060228,0
-0.0030492,-0.0060228,0
-0.0029988,-0.0060228,0
-0.0029484,-0.0060228,0
-0.002898,-0.0060228,0
-0.0028476,-0.0060228,0
-0.0027972,-0.0060228,0
-0.0027468,-0.0060228,0
-0.0026964,-0.0060228,0
-0.002646,-0.0060228,0
-0.0025956,-0.0060228,0
-0.0025452,-0.0060228,0
-0.0024948,-0.0060228,0
-0.0024444,-0.0060228,0
-0.002394,-0.0060228,0
-0.0023436,-0.0060228,0
-0.0022932,-0.0060228,0
-0.0022428,-0.0060228,0
-0.0021924,-0.0060228,0
-0.002142,-0.0060228,0
-0.0020916,-0.0060228,0
-0.0020412,-0.0060228,0
-0.0019908,-0.0060228,0
-0.0019404,-0.0060228,0
-0.00189,-0.0060228,0
-0.0018396,-0.0060228,0
-0.0017892,-0.0060228,0
-0.0017388,-0.0060228,0
-0.0016884,-0.0060228,0
-0.001638,-0.0060228,0
-0.0015876,-0.0060228,0
-0.0015372,-0.0060228,0
-0.0014868,-0.0060228,0
-0.0014364,-0.0060228,0
-0.001386,-0.0060228,0
-0.0013356,-0.0060228,0
-0.0012852,-0.0060228,0
-0.0012348,-0.0060228,0
-0.0011844,-0.0060228,0
-0.001134,-0.0060228,0
-0.0010836,-0.0060228,0
-0.0010332,-0.0060228,0
-0.0009828,-0.0060228,0
-0.0009324,-0.0060228,0
-0.000882,-0.0060228,0
-0.0008316,-0.0060228,0
-0.0007812,-0.0060228,0
-0.0007308,-0.0060228,0
-0.0006804,-0.0060228,0
-0.00063,-0.0060228,0
-0.0005796,-0.0060228,0
-0.0005292,-0.0060228,0
-0.0004788,-0.0060228,0
-0.0004284,-0.0060228,0
-0.000378,-0.0060228,0
-0.0003276,-0.0060228,0
-0.0002772,-0.0060228,0
-0.0002268,-0.0060228,0
-0.0001764,-0.0060228,0
-0.000126,-0.0060228,0
-7.56e-05,-0.0060228,0
-2.52e-05,-0.0060228,0
2.52e-05,-0.0060228,0
7.56e-05,-0.0060228,0
0.000126,-0.0060228,0
0.0001764,-0.0060228,0
0.0002268,-0.0060228,0
0.0002772,-0.0060228,0
0.0003276,-0.0060228,0
0.000378,-0.0060228,0
0.0004284,-0.0060228,0
0.0004788,-0.0060228,0
0.0005292,-0.0060228,0
0.0005796,-0.0060228,0
0.00063,-0.0060228,0
0.0006804,-0.0060228,0
0.0007308,-0.0060228,0
0.0007812,-0.0060228,0
0.0008316,-0.0060228,0
0.000882,-0.0060228,0
0.0009324,-0.0060228,0
0.0009828,-0.0060228,0
0.0010332,-0.0060228,0
0.0010836,-0.0060228,0
0.001134,-0.0060228,0
0.0011844,-0.0060228,0
0.0012348,-0.0060228,0
0.0012852,-0.0060228,0
0.0013356,-0.0060228,0
0.001386,-0.0060228,0
0.0014364,-0.0060228,0
0.0014868,-0.0060228,0
0.0015372,-0.0060228,0
0.0015876,-0.0060228,0
0.001638,-0.0060228,0
0.0016884,-0.0060228,0
0.0017388,-0.0060228,0
0.0017892,-0.0060228,0
0.0018396,-0.0060228,0
0.00189,-0.0060228,0
0.0019404,-0.0060228,0
0.0019908,-0.0060228,0
0.0020412,-0.0060228,0
0.0020916,-0.0060228,0
0.002142,-0.0060228,0
0.0021924,-0.0060228,0
0.0022428,-0.0060228,0
0.0022932,-0.0060228,0
0.0023436,-0.0060228,0
0.002394,-0.0060228,0
0.0024444,-0.0060228,0
0.0024948,-0.0060228,0
0.0025452,-0.0060228,0
0.0025956,-0.0060228,0
0.002646,-0.0060228,0
0.0026964,-0.0060228,0
0.0027468,-0.0060228,0
0.0027972,-0.0060228,0
0.0028476,-0.0060228,0
0.002898,-0.0060228,0
0.0029484,-0.0060228,0
0.0029988,-0.0060228,0
0.0030492,-0.0060228,0
0.0030996,-0.0060228,0
0.00315,-0.0060228,0
0.0032004,-0.0060228,0
0.0032508,-0.0060228,0
0.0033012,-0.0060228,0
0.0033516,-0.0060228,0
0.003402,-0.0060228,0
0.0034524,-0.0060228,0
0.0035028,-0.0060228,0
0.0035532,-0.0060228,0
0.0036036,-0.0060228,0
0.003654,-0.0060228,0
0.0037044,-0.0060228,0
0.0037548,-0.0060228,0
0.0038052,-0.0060228,0
0.0038556,-0.0060228,0
0.003906,-0.0060228,0
0.0039564,-0.0060228,0
0.0040068,-0.0060228,0
0.0040572,-0.0060228,0
0.0041076,-0.0060228,0
0.004158,-0.0060228,0
0.0042084,-0.0060228,0
0.0042588,-0.0060228,0
0.0043092,-0.0060228,0
0.0043596,-0.0060228,0
0.00441,-0.0060228,0
0.0044604,-0.0060228,0
0.0045108,-0.0060228,0
0.0045612,-0.0060228,0
0.0046116,-0.0060228,0
0.004662,-0.0060228,0
0.0047124,-0.0060228,0
0.0047628,-0.0060228,0
0.0048132,-0.0060228,0
0.0048636,-0.0060228,0
0.004914,-0.0060228,0
0.0049644,-0.0060228,0
0.0050148,-0.0060228,0
0.0050652,-0.0060228,0
0.0051156,-0.0060228,0
0.005166,-0.0060228,0
0.0052164,-0.0060228,0
0.0052668,-0.0060228,0
0.0053172,-0.0060228,0
0.0053676,-0.0060228,0
0.005418,-0.0060228,0
0.0054684,-0.0060228,0
0.0055188,-0.0060228,0
0.0055692,-0.0060228,0
0.0056196,-0.0060228,0
0.00567,-0.0060228,0
0.0057204,-0.0060228,0
0.0057708,-0.0060228,0
0.0058212,-0.0060228,0
0.0058716,-0.0060228,0
0.005922,-0.0060228,0
0.0059724,-0.0060228,0
0.0060228,-0.0060228,0
0.0060732,-0.0060228,0
0.0061236,-0.0060228,0
0.006174,-0.0060228,0
0.0062244,-0.0060228,0
0.0062748,-0.0060228,0
-0.0062748,-0.0059724,0
-0.0062244,-0.0059724,0
-0.006174,-0.0059724,0
-0.0061236,-0.0059724,0
-0.0060732,-0.0059724,0
-0.0060228,-0.0059724,0
-0.0059724,-0.0059724,0
-0.005922,-0.0059724,0
-0.0058716,-0.0059724,0
-0.0058212,-0.0059724,0
-0.0057708,-0.0059724,0
-0.0057204,-0.0059724,0
-0.00567,-0.0059724,0
-0.0056196,-0.0059724,0
-0.0055692,-0.0059724,0
-0.0055188,-0.0059724,0
-0.0054684,-0.0059724,0
-0.005418,-0.0059724,0
-0.0053676,-0.0059724,0
-0.0053172,-0.0059724,0
-0.0052668,-0.0059724,0
-0.0052164,-0.0059724,0
-0.005166,-0.0059724,0
-0.0051156,-0.0059724,0
-0.0050652,-0.0059724,0
-0.0050148,-0.0059724,0
-0.0049644,-0.0059724,0
-0.004914,-0.0059724,0
-0.0048636,-0.0059724,0
-0.0048132,-0.0059724,0
-0.0047628,-0.0059724,0
-0.0047124,-0.0059724,0
-0.004662,-0.0059724,0
-0.0046116,-0.0059724,0
-0.0045612,-0.0059724,0
-0.0045108,-0.0059724,0
-0.0044604,-0.0059724,0
-0.00441,-0.0059724,0
-0.0043596,-0.0059724,0
-0.0043092,-0.0059724,0
-0.0042588,-0.0059724,0
-0.0042084,-0.0059724,0
-0.004158,-0.0059724,0
-0.0041076,-0.0059724,0
-0.0040572,-0.0059724,0
-0.0040068,-0.0059724,0
-0.0039564,-0.0059724,0
-0.003906,-0.0059724,0
-0.0038556,-0.0059724,0
-0.0038052,-0.0059724,0
-0.0037548,-0.0059724,0
-0.0037044,-0.0059724,0
-0.003654,-0.0059724,0
-0.0036036,-0.0059724,0
-0.0035532,-0.0059724,0
-0.0035028,-0.0059724,0
-0.0034524,-0.0059724,0
-0.003402,-0.0059724,0
-0.0033516,-0.0059724,0
-0.0033012,-0.0059724,0
-0.0032508,-0.0059724,0
-0.0032004,-0.0059724,0
-0.00315,-0.0059724,0
-0.0030996,-0.0059724,0
-0.0030492,-0.0059724,0
-0.0029988,-0.0059724,0
-0.0029484,-0.0059724,0
-0.002898,-0.0059724,0
-0.0028476,-0.0059724,0
-0.0027972,-0.0059724,0
-0.0027468,-0.0059724,0
-0.0026964,-0.0059724,0
-0.002646,-0.0059724,0
-0.0025956,-0.0059724,0
-0.0025452,-0.0059724,0
-0.0024948,-0.0059724,0
-0.0024444,-0.0059724,0
-0.002394,-0.0059724,0
-0.0023436,-0.0059724,0
-0.0022932,-0.0059724,0
-0.0022428,-0.0059724,0
-0.0021924,-0.0059724,0
-0.002142,-0.0059724,0
-0.0020916,-0.0059724,0
-0.0020412,-0.0059724,0
-0.0019908,-0.0059724,0
-0.0019404,-0.0059724,0
-0.00189,-0.0059724,0
-0.0018396,-0.0059724,0
-0.0017892,-0.0059724,0
-0.0017388,-0.0059724,0
-0.0016884,-0.0059724,0
-0.001638,-0.0059724,0
-0.0015876,-0.0059724,0
-0.0015372,-0.0059724,0
-0.0014868,-0.0059724,0
-0.0014364,-0.0059724,0
-0.001386,-0.0059724,0
-0.0013356,-0.0059724,0
-0.0012852,-0.0059724,0
-0.0012348,-0.0059724,0
-0.0011844,-0.0059724,0
-0.001134,-0.0059724,0
-0.0010836,-0.0059724,0
-0.0010332,-0.0059724,0
-0.0009828,-0.0059724,0
-0.0009324,-0.0059724,0
-0.000882,-0.0059724,0
-0.0008316,-0.0059724,0
-0.0007812,-0.0059724,0
-0.0007308,-0.0059724,0
-0.0006804,-0.0059724,0
-0.00063,-0.0059724,0
-0.0005796,-0.0059724,0
-0.0005292,-0.0059724,0
-0.0004788,-0.0059724,0
-0.0004284,-0.0059724,0
-0.000378,-0.0059724,0
-0.0003276,-0.0059724,0
-0.0002772,-0.0059724,0
-0.0002268,-0.0059724,0
-0.0001764,-0.0059724,0
-0.000126,-0.0059724,0
-7.56e-05,-0.0059724,0
-2.52e-05,-0.0059724,0
2.52e-05,-0.0059724,0
7.56e-05,-0.0059724,0
0.000126,-0.0059724,0
0.0001764,-0.0059724,0
0.0002268,-0.0059724,0
0.0002772,-0.0059724,0
0.0003276,-0.0059724,0
0.000378,-0.0059724,0
0.0004284,-0.0059724,0
0.0004788,-0.0059724,0
0.0005292,-0.0059724,0
0.0005796,-0.0059724,0
0.00063,-0.0059724,0
0.0006804,-0.0059724,0
0.0007308,-0.0059724,0
0.0007812,-0.0059724,0
0.0008316,-0.0059724,0
0.000882,-0.0059724,0
0.0009324,-0.0059724,0
0.0009828,-0.0059724,0
0.0010332,-0.0059724,0
0.0010836,-0.0059724,0
0.001134,-0.0059724,0
0.0011844,-0.0059724,0
0.0012348,-0.0059724,0
0.0012852,-0.0059724,0
0.0013356,-0.0059724,0
0.001386,-0.0059724,0
0.0014364,-0.0059724,0
0.0014868,-0.0059724,0
0.0015372,-0.0059724,0
0.0015876,-0.0059724,0
0.001638,-0.0059724,0
0.0016884,-0.0059724,0
0.0017388,-0.0059724,0
0.0017892,-0.0059724,0
0.0018396,-0.0059724,0
0.00189,-0.0059724,0
0.0019404,-0.0059724,0
0.0019908,-0.0059724,0
0.0020412,-0.0059724,0
0.0020916,-0.0059724,0
0.002142,-0.0059724,0
0.0021924,-0.0059724,0
0.0022428,-0.0059724,0
0.0022932,-0.0059724,0
0.0023436,-0.0059724,0
0.002394,-0.0059724,0
0.0024444,-0.0059724,0
0.0024948,-0.0059724,0
0.0025452,-0.0059724,0
0.0025956,-0.0059724,0
0.002646,-0.0059724,0
0.0026964,-0.0059724,0
0.0027468,-0.0059724,0
0.0027972,-0.0059724,0
0.0028476,-0.0059724,0
0.002898,-0.0059724,0
0.0029484,-0.0059724,0
0.0029988,-0.0059724,0
0.0030492,-0.0059724,0
0.0030996,-0.0059724,0
0.00315,-0.0059724,0
0.0032004,-0.0059724,0
0.0032508,-0.0059724,0
0.0033012,-0.0059724,0
0.0033516,-0.0059724,0
0.003402,-0.0059724,0
0.0034524,-0.0059724,0
0.0035028,-0.0059724,0
0.0035532,-0.0059724,0
0.0036036,-0.0059724,0
0.003654,-0.0059724,0
0.0037044,-0.0059724,0
0.0037548,-0.0059724,0
0.0038052,-0.0059724,0
0.0038556,-0.0059724,0
0.003906,-0.0059724,0
0.0039564,-0.0059724,0
0.0040068,-0.0059724,0
0.0040572,-0.0059724,0
0.0041076,-0.0059724,0
0.004158,-0.0059724,0
0.0042084,-0.0059724,0
0.0042588,-0.0059724,0
0.0043092,-0.0059724,0
0.0043596,-0.0059724,0
0.00441,-0.0059724,0
0.0044604,-0.0059724,0
0.0045108,-0.0059724,0
0.0045612,-0.0059724,0
0.0046116,-0.0059724,0
0.004662,-0.0059724,0
0.0047124,-0.0059724,0
0.0047628,-0.0059724,0
0.0048132,-0.0059724,0
0.0048636,-0.0059724,0
0.004914,-0.0059724,0
0.0049644,-0.0059724,0
0.0050148,-0.0059724,0
0.0050652,-0.0059724,0
0.0051156,-0.0059724,0
0.005166,-0.0059724,0
0.0052164,-0.0059724,0
0.0052668,-0.0059724,0
0.0053172,-0.0059724,0
0.0053676,-0.0059724,0
0.005418,-0.0059724,0
0.0054684,-0.0059724,0
0.0055188,-0.0059724,0
0.0055692,-0.0059724,0
0.0056196,-0.0059724,0
0.00567,-0.0059724,0
0.0057204,-0.0059724,0
0.0057708,-0.0059724,0
0.0058212,-0.0059724,0
0.0058716,-0.0059724,0
0.005922,-0.0059724,0
0.0059724,-0.0059724,0
0.0060228,-0.0059724,0
0.0060732,-0.0059724,0
0.0061236,-0.0059724,0
0.006174,-0.0059724,0
0.0062244,-0.0059724,0
0.0062748,-0.0059724,0
-0.0062748,-0.005922,0
-0.0062244,-0.005922,0
-0.006174,-0.005922,0
-0.0061236,-0.005922,0
-0.0060732,-0.005922,0
-0.0060228,-0.005922,0
-0.0059724,-0.005922,0
-0.005922,-0.005922,0
-0.0058716,-0.005922,0
-0.0058212,-0.005922,0
-0.0057708,-0.005922,0
-0.0057204,-0.005922,0
-0.00567,-0.005922,0
-0.0056196,-0.005922,0
-0.0055692,-0.005922,0
-0.0055188,-0.005922,0
-0.0054684,-0.005922,0
-0.005418,-0.005922,0
-0.0053676,-0.005922,0
-0.0053172,-0.005922,0
-0.0052668,-0.005922,0
-0.0052164,-0.005922,0
-0.005166,-0.005922,0
-0.0051156,-0.005922,0
-0.0050652,-0.005922,0
-0.0050148,-0.005922,0
-0.0049644,-0.005922,0
-0.004914,-0.005922,0
-0.0048636,-0.005922,0
-0.0048132,-0.005922,0
-0.0047628,-0.005922,0
-0.0047124,-0.005922,0
-0.004662,-0.005922,0
-0.0046116,-0.005922,0
-0.0045612,-0.005922,0
-0.0045108,-0.005922,0
-0.0044604,-0.005922,0
-0.00441,-0.005922,0
-0.0043596,-0.005922,0
-0.0043092,-0.005922,0
-0.0042588,-0.005922,0
-0.0042084,-0.005922,0
-0.004158,-0.005922,0
-0.0041076,-0.005922,0
-0.0040572,-0.005922,0
-0.0040068,-0.005922,0
-0.0039564,-0.005922,0
-0.003906,-0.005922,0
-0.0038556,-0.005922,0
-0.0038052,-0.005922,0
-0.0037548,-0.005922,0
-0.0037044,-0.005922,0
-0.003654,-0.005922,0
-0.0036036,-0.005922,0
-0.0035532,-0.005922,0
-0.0035028,-0.005922,0
-0.0034524,-0.005922,0
-0.003402,-0.005922,0
-0.0033516,-0.005922,0
-0.0033012,-0.005922,0
-0.0032508,-0.005922,0
-0.0032004,-0.005922,0
-0.00315,-0.005922,0
-0.0030996,-0.005922,0
-0.0030492,-0.005922,0
-0.0029988,-0.005922,0
-0.0029484,-0.005922,0
-0.002898,-0.005922,0
-0.0028476,-0.005922,0
-0.0027972,-0.005922,0
-0.0027468,-0.005922,0
-0.0026964,-0.005922,0
-0.002646,-0.005922,0
-0.0025956,-0.005922,0
-0.0025452,-0.005922,0
-0.0024948,-0.005922,0
-0.0024444,-0.005922,0
-0.002394,-0.005922,0
-0.0023436,-0.005922,0
-0.0022932,-0.005922,0
-0.0022428,-0.005922,0
-0.0021924,-0.005922,0
-0.002142,-0.005922,0
-0.0020916,-0.005922,0
-0.0020412,-0.005922,0
-0.0019908,-0.005922,0
-0.0019404,-0.005922,0
-0.00189,-0.005922,0
-0.0018396,-0.005922,0
-0.0017892,-0.005922,0
-0.0017388,-0.005922,0
-0.0016884,-0.005922,0
-0.001638,-0.005922,0
-0.0015876,-0.005922,0
-0.0015372,-0.005922,0
-0.0014868,-0.005922,0
